Id;Designator;Package;Quantity;Designation;Supplier and ref;wpisano;;;;;;;;;
244;Przetwornica DC/DC 5V;AP1501-50K5G-13 DIODES INCORPORATED;Wytwarza napiêcie 5V;4,74;9,48;;https://www.tme.eu/pl/details/ap1501-50k5g-13/regulatory-napiecia-uklady-dc-dc/diodes-incorporated/;Potrzeba do wykonania uk³¹du PDM;2;Potrzeba 1, 1 zapas;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
245;Cewka 18uF;PCS127MT180 VIKING;potrzebna do przetwornicy 5V;2,12;10,6;;https://www.tme.eu/pl/details/pcs127mt180/dlawiki-smd-mocy/viking/;Potrzeba do wykonania uk³¹du PDM;5;;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
246;Cewka 47uF;DE1207-47 FERROCORE;potrzebna do przetwornicy 12V;1,688;8,44;;https://www.tme.eu/pl/details/de1207-47/dlawiki-smd-mocy/ferrocore/;Potrzeba do wykonania uk³¹du PDM;5;;;;;;
247;Procesor STM32F446RE;STM32F446RET7TR;Procesor steruj¹cy uk³adem;$8,25;;;https://estore.st.com/en/products/microcontrollers-microprocessors/stm32-32-bit-arm-cortex-mcus/stm32-high-performance-mcus/stm32f4-series/stm32f446/stm32f446re.html;Potrzeba do wykonania uk³¹du PDM;;;;;;;
248;Koratlik Ferrytowy;BLM31AJ260SN1L MURATA;zabezpieczenie przeciwzak³óceniowe;0,5994;5,994;;https://www.tme.eu/pl/details/blm31a260spt/ferryty-koraliki/murata/blm31aj260sn1l/;Potrzeba do wykonania uk³¹du PDM;10;Minimalna ilosc do zamowienia;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
249;Rezystor Pomiarowy;LRP12FTDRR020 VIKING;Umo¿liwa pomiar pr¹du;0,64942;25,9768;;https://www.tme.eu/pl/details/lrp2512-r020-1%25/rezystory-smd-2512/viking/lrp12ftdrr020/;Potrzeba do wykonania uk³¹du PDM;40;Potrzeba du¿o takich rezystorów na uk³adzie;;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
250;Kondensator elektrolityczny 680uF;EEEFP1A681AP PANASONIC;Filtrowanie zailsania;1,76179;5,28537;;https://www.tme.eu/pl/details/eeefp1a681ap/kondensatory-elektr-smd-niskoimpedan/panasonic/;Potrzeba do wykonania uk³¹du PDM;3;;;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
251;Kondensator elektrolityczny 220uF;EEEFK0J221AP PANASONIC;Filtrowanie zailsania;0,93992;2,81976;;https://www.tme.eu/pl/details/eeefk0j221ap/kondensatory-elektr-smd-niskoimpedan/panasonic/;Potrzeba do wykonania uk³¹du PDM;3;;;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
252;Dioda transil dwukierunkowa;D_TVS_2x_AAC;Konieczny do wykonaniu uk³adu;0,63;6,3;;https://www.tme.eu/pl/details/pesd2can.215/diody-transil-smd-dwukierunkowe/nexperia//;Potrzeba do wykonania uk³¹du PDM;10;Niezbêdne do wykonania ukladu;Faza wykonawcza PM07;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
253;Polyfuse 3A;0ZCG0300FF2B BEL FUSE;Konieczny do wykonaniu uk³adu;0,8581;25,743;;https://www.tme.eu/pl/details/0zcg0300ff2b/bezpieczniki-polimerowe-smd/bel-fuse/;Potrzeba do wykonania uk³¹du PDM;30;Niezbêdne do wykonania ukladu;Faza wykonawcza PM08;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
254;Reznonator kwarcowy RTC;32.768K12.5PI/MC306 YIC;Konieczny do wykonaniu uk³adu;2,075;4,15;;https://www.tme.eu/pl/details/32.768k12.5pi_mc30/rezonatory-kwarcowe-smd/yic/32-768k12-5pi-mc306/;Potrzeba do wykonania uk³¹du PDM;2;Niezbêdne do wykonania ukladu;Faza wykonawcza PM09;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
255;Kondensator do kwarcu RTC;C0805C120J5GACTU KEMET;Konieczny do wykonaniu uk³adu;0,1947;19,47;;https://www.tme.eu/pl/details/c0805c120j5gac/kondensatory-mlcc-smd-0805/kemet/c0805c120j5gactu/;Potrzeba do wykonania uk³¹du PDM;100;Minimalna ilosc zamowienia;Faza wykonawcza PM10;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
256;Rezonator kwarcowy LFC;16.00M-SMDHC49S YIC;Konieczny do wykonaniu uk³adu;1,955;3,91;;https://www.tme.eu/pl/details/16.00m-smdhc49s/rezonatory-kwarcowe-smd/yic/;Potrzeba do wykonania uk³¹du PDM;2;Minimalna ilosc zamowienia;Faza wykonawcza PM11;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
257;Tranzystor nmos;BSS138-7-F DIODES INCORPORATED;Konieczny do wykonaniu uk³adu;0,391;7,82;;https://www.tme.eu/pl/details/bss138-7-f/tranzystory-z-kanalem-n-smd/diodes-incorporated/;Potrzeba do wykonania uk³¹du PDM;20;;Faza wykonawcza PM12;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
258;Tranzystor npn;BC817-16 DIOTEC SEMICONDUCTOR;Konieczny do wykonaniu uk³adu;0,1955;4,8875;;https://www.tme.eu/pl/details/bc817-16-dio/tranzystory-npn-smd/diotec-semiconductor/bc817-16/;Potrzeba do wykonania uk³¹du PDM;25;Niezbêdne do wykonania ukladu;Faza wykonawcza PM13;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
259;Przycisk;PTS645SM43SMTR92 LFS C&K;Konieczny do wykonaniu uk³adu;0,816;4,08;;https://www.tme.eu/pl/details/pts645sm43smtr92/mikroprzelaczniki-tact/c-k/pts645sm43smtr92-lfs/;Potrzeba do wykonania uk³¹du PDM;5;Minimalna ilosc zamowienia;Faza wykonawcza PM14;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
260;Kondensator 100nF 0805;C0805C104M5RACTU KEMET;Filtrowanie zak³óceñ;0,0795;7,95;;https://www.tme.eu/pl/details/c0805c104m5rac/kondensatory-mlcc-smd-0805/kemet/c0805c104m5ractu/;Potrzeba do wykonania uk³¹du PDM;100;;Faza wykonawcza PM15;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
261;Kondensator 10nF 0805;CL21B103KCANNNC SAMSUNG;Filtrowanie zak³óceñ;0,0828;8,28;;https://www.tme.eu/pl/details/cl21b103kcannnc/kondensatory-mlcc-smd-0805/samsung/;Potrzeba do wykonania uk³¹du PDM;100;;Faza wykonawcza PM16;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
262;Kondensator 4,7nF 0805;CL21B472KBANNNC SAMSUNG;Filtrowanie zak³óceñ;0,0777;7,77;;https://www.tme.eu/pl/details/cl21b472kbannnc/kondensatory-mlcc-smd-0805/samsung/;Potrzeba do wykonania uk³¹du PDM;100;;Faza wykonawcza PM17;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
263;Kondensator 22pF 0805;C0805C220J5GACTU KEMET;Filtrowanie zak³óceñ;0,0643;6,43;;https://www.tme.eu/pl/details/c0805c220j5gac/kondensatory-mlcc-smd-0805/kemet/c0805c220j5gactu/;Potrzeba do wykonania uk³¹du PDM;100;;Faza wykonawcza PM18;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
